,id,geodetic_c,current_ma,descriptio,mark_type,beacon_typ,mark_condi,order,land_distr,latitude,longitude,ellipsoida,geometry,affected_area,affected_length
90472,36766011,AP8V,IT AD,Iron tube.,Other,Not Beaconed,Reliably Placed,6,Westland,-43.595550558,169.602609745,,POINT (1325765.6931691547 5167437.023526425),0.0,0.0
11137,36748156,B8J8,SB 62,Stainless steel pin in concrete block up 20cm with bronze ID plaque.,Pin,Not Beaconed,Reliably Placed,5,Westland,-43.595540175,169.603277875,16.7724,POINT (1325819.5802420292 5167440.3844511695),0.0,0.0
108003,36743972,B1G5,JR (Bruce Bay SD),,Other,Not Beaconed,,9,Westland,-43.59526294282,169.603379484388,,POINT (1325826.5216276285 5167471.5104863625),0.0,0.0
108873,36761749,B1FU,JO (Bruce Bay SD),,Other,Not Beaconed,,9,Westland,-43.544177254777,169.69059504696,,POINT (1332640.775406028 5173429.973183335),0.0,0.0
60094,36748231,AP8N,IT Z,Iron tube.,Other,Not Beaconed,Not Specified,6,Westland,-43.504360541,169.723922692,,POINT (1335159.0636373225 5177959.06093824),0.0,0.0
109296,36770638,B1FV,JY (Bruce Bay SD),,Other,Not Beaconed,,9,Westland,-43.503781214453,169.724289449659,,POINT (1335186.1785664603 5178024.572658931),0.0,0.0
107748,36736087,AA62,JH KARANGARUA BLUFF,Mark reported not found - see 6375-02-D12 of 28/3/1994.,Other,Not Beaconed,,9,Westland,-43.477717495496,169.749546169896,,POINT (1337114.9405659854 5180999.545107302),0.0,0.0
63058,36739341,AP8M,KARANGARUA BLUFF NO 2,Iron tube. See 6375-02-D12 of 28/3/1994 for station name.,Other,Not Beaconed,Not Specified,6,Westland,-43.477687941,169.749522744,,POINT (1337112.9182732855 5181002.754989353),0.0,0.0
115212,36762755,B2PW,HV GILLESPIES POINT,,Other,Not Beaconed,Reliably Placed,9,Westland,-43.395809844223,169.841880805639,,POINT (1344237.9366765488 5190384.396507955),0.0,0.0
135,36744922,A9WW,5751,This mark is used for deformation monitoring do not alter the ground mark in any way. 25 mm stainless steel pin in 0.05 m dia iron pipe,Pin,Two metre metal beacon,Reliably Placed,2,Westland,-42.881843556,170.798055318,18.5031,POINT (1420176.2532481977 5249954.162471665),0.0,0.0
107737,36736032,A9WV,"T"" TOTARA",,Other,Not Beaconed,,9,Westland,-42.862784342973,170.819148352827,,POINT (1421844.0585122819 5252115.579835121),0.0,0.0
3057,48328957,F6AE,BP 1 MOTUNAU BEACH,Bronze mushroom plaque set in concrete under plastic cover in grass.,Plaque,Not Beaconed,Reliably Placed,4,Canterbury,-43.04963646,173.0745328,41.2601,POINT (1606070.1533429604 5233670.439699078),0.0,0.0
105455,42115182,EETT,IT I,N/A,Tube,Not Beaconed,Not Specified,8,Canterbury,-43.049025953,173.072793074,,POINT (1605928.5235382775 5233738.361481232),0.0,0.0
129280,36774592,ANTG,J (Mount Fyffe SD),,Other,Not Beaconed,,12,Marlborough,-42.329961566,173.735393517,,POINT (1660588.0511457897 5313325.621497577),0.0,0.0
128902,36756764,ANL2,BEACH,,Other,Not Beaconed,,12,Marlborough,-41.513043582,174.074690275,,POINT (1689679.2773450431 5403730.212357202),0.0,0.0
130156,45538284,EXV6,PC 6,NCC Control Point,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.31284748,173.214131,,POINT (1617923.3294968 5426490.843041449),0.0,0.0
71215,38400840,F0E0,BP I DP 336183,NCC Benchmark,Plaque,,Reliably Placed,6,Nelson,-41.310418121,173.219100833,,POINT (1618339.9987556925 5426759.502414722),0.0,0.0
130612,45538289,EXV0,UNKNOWN,NCC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.30617039,173.2197446,,POINT (1618395.0796276466 5427230.930660788),0.0,0.0
95917,36758463,BG3A,SS 325 SO 13696,Mark reported destroyed - see CON476UW01 of 27/3/2000.,Other,Not Beaconed,Reliably Placed,6,Nelson,-41.306023738,173.219650697,,POINT (1618387.2603408035 5427247.230980993),0.0,0.0
74961,36945779,F0DW,BP 13 SO 15638,LINZ Survey Mark,Plaque,,Reliably Placed,6,Nelson,-41.306002303,173.219673271,,POINT (1618389.1554531192 5427249.605629111),0.0,0.0
59869,36740684,BG3E,SS 333 SO 13696,,Other,Not Beaconed,Not Specified,6,Nelson,-41.305965272,173.208080631,,POINT (1617418.7292295403 5427256.1080510905),0.0,0.0
76255,36749573,BG39,SS 326 SO 13696,Mark reported destroyed - see CON476UW01 of 27/3/2000.,Other,Not Beaconed,Reliably Placed,6,Nelson,-41.305482697,173.219742381,,POINT (1618395.0873333174 5427307.274640568),0.0,0.0
131060,45538152,EY0E,SS 4,Survey Mark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.30541359,173.2197558,,POINT (1618396.229899399 5427314.944822169),0.0,0.0
116798,39395054,EYD1,NCC 6 SO 361867,NCC Benchmark,Unknown,,Reliably Placed,9,Nelson,-41.305086843,173.220544201,,POINT (1618462.3207588794 5427351.04989326),0.0,0.0
87974,39395059,F0D0,NCC 1 SO 361867,NCC Benchmark,Unknown,,Reliably Placed,6,Nelson,-41.304332091,173.212971655,,POINT (1617828.6083645218 5427436.423663363),0.0,0.0
80889,39395062,F0D3,SS 548 SO 361867,LINZ Survey Mark,Unknown,,Reliably Placed,6,Nelson,-41.304301817,173.21314612,,POINT (1617843.2218470646 5427439.747875813),0.0,0.0
62676,36767351,BG35,SS 330 SO 13696,,Other,Not Beaconed,Not Specified,6,Nelson,-41.304273537,173.213119785,,POINT (1617841.0250919147 5427442.893183492),0.0,0.0
82717,36749572,BG33,SS 340 SO 13696,5a,Plaque,Not Beaconed,Reliably Placed,6,Nelson,-41.30416687,173.210034447,,POINT (1617582.7692226993 5427455.364373095),0.0,0.0
78713,39395061,F0AY,SS 547 SO 361867,LINZ Survey Mark,Unknown,,Reliably Placed,6,Nelson,-41.304010269,173.214305404,,POINT (1617940.3495549324 5427471.875487478),0.0,0.0
63016,36776240,BG36,SS 329 SO 13696,,Other,Not Beaconed,Not Specified,6,Nelson,-41.30399688,173.214096675,,POINT (1617922.8807113715 5427473.404367609),0.0,0.0
78887,39395058,F0CL,NCC 2 SO 361867,NCC Benchmark,Unknown,,Reliably Placed,6,Nelson,-41.30397222,173.216172977,,POINT (1618096.7029288225 5427475.711959378),0.0,0.0
131476,45538136,EY0Y,SURVEY MARK (JWS),Survey Mark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.30392889,173.2184917,,POINT (1618290.8241862825 5427480.036645099),0.0,0.0
91734,39395057,F0CX,NCC 3 SO 361867,NCC Benchmark,Unknown,,Reliably Placed,6,Nelson,-41.30392633,173.218610982,,POINT (1618300.810593206 5427480.294593107),0.0,0.0
17084,36801142,C7TE,IS V DP 18205,N/A,"Spike, Bar, Bolt, Rod, Dog",Unknown,Reliably Placed,5,Nelson,-41.303909344,173.21751667,18.7332,POINT (1618209.2055863978 5427482.4101376),0.0,0.0
74234,39395056,F0CR,NCC 4 SO 361867,NCC Benchmark,Unknown,,Reliably Placed,6,Nelson,-41.303859008,173.220185825,,POINT (1618432.666709029 5427487.4364120765),0.0,0.0
131980,45538140,EY0U,SURVEY PIN (JWS),Survey Mark,Pin,Not Beaconed,Reliably Placed,12,Nelson,-41.30385308,173.2202716,,POINT (1618439.8482655932 5427488.075041448),0.0,0.0
31288,36758462,BG34,SS 341 SO 13696,Bronze Plaque in concrete block,Plaque,Not Beaconed,Reliably Placed,5,Nelson,-41.303621392,173.212559546,20.5805,POINT (1617794.303194923 5427515.40505911),0.0,0.0
129788,45538225,EXX2,S40A,NCC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.30252637,173.2192165,,POINT (1618351.893368589 5427635.584686655),0.0,0.0
72,36775099,ADW0,NELSON AIRPORT,SS Pin in concrete block Bronze ID plaque.,Pin,Not Beaconed,Reliably Placed,2,Nelson,-41.301026935,173.215671329,20.7155,POINT (1618055.5201405762 5427802.788348777),0.0,0.0
131389,45537987,EY5Q,PC 8,NCC Control Point,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.29477576,173.2184422,,POINT (1618289.237202326 5428496.183795026),0.0,0.0
35020,36801132,C7TQ,IT II SO 10449,N/A,Tube,Unknown,Reliably Placed,5,Nelson,-41.286254766,173.23182405,21.2829,POINT (1619412.169077167 5429439.239186613),0.0,0.0
131346,45537992,EY5K,UNKNOWN,NCC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.28619004,173.2316348,,POINT (1619396.3410749359 5429446.467864208),0.0,0.0
132174,45538112,EY1P,UNKNOWN,NCC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.28474249,173.2321256,,POINT (1619437.8686664607 5429607.058063124),0.0,0.0
130492,45538092,EY2B,UNKNOWN,NCC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.28264525,173.2319835,,POINT (1619426.5913760562 5429839.914407789),0.0,0.0
130265,45538222,EXX5,UNKNOWN,NCC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.28073215,173.2351222,,POINT (1619690.0052883436 5430051.590424462),0.0,0.0
130729,45538294,EXUU,PC 14,NCC Control Point,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.27982032,173.2361113,,POINT (1619773.1114661081 5430152.59289716),0.0,0.0
124233,40773951,E8QG,TDC BM 9 RUBY BAY,"Stainless steel bolt set in 0.60m long, 0.10m diameter concrete filled PVC tube",Pin,Not Beaconed,Not Specified,12,Nelson,-41.2476733,173.1057836,,POINT (1608863.1773863689 5433742.865062919),0.0,0.0
130604,45538301,EXUL,BMT-5,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.24614373,173.1027909,,POINT (1608612.6320425642 5433912.969724476),0.0,0.0
124223,40773941,E8QT,TDC BM 10 RUBY BAY,"Stainless steel bolt set in 0.60m long, 0.10m diameter concrete filled PVC tube",Pin,Not Beaconed,Destroyed,12,Nelson,-41.246111111111,173.103055555556,,POINT (1608634.8108031773 5433916.564370683),0.0,0.0
124234,40773952,E8QF,TDC BM 11 RUBY BAY,"Stainless steel bolt set in 0.60m long, 0.10m diameter concrete filled PVC tube",Pin,Not Beaconed,Not Specified,12,Nelson,-41.2438071,173.0991679,,POINT (1608309.3644940068 5434172.722033569),0.0,0.0
130155,45537981,EY5X,BMT-1799,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.24377645,173.099528,,POINT (1608339.541486526 5434176.090127635),0.0,0.0
131451,45537982,EY5W,BMT-1855,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.24370731,173.0992761,,POINT (1608318.4433209347 5434183.789048211),0.0,0.0
129729,45538036,EY46,BMT-1800,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.24369597,173.0988478,,POINT (1608282.5570656115 5434185.089965795),0.0,0.0
131808,45538063,EY3A,BMT-1850,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.24334263,173.0981673,,POINT (1608225.5815816692 5434224.379625847),0.0,0.0
131197,45538016,EY4T,BMT-1851,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.24263055,173.0967931,,POINT (1608110.5233808483 5434303.5601389855),0.0,0.0
124235,40773953,E8QE,TDC BM12 RUBY BAY,"Stainless steel bolt set in 0.60m long, 0.10m diameter concrete filled PVC tube",Pin,Not Beaconed,Not Specified,12,Nelson,-41.2421531,173.0951468,,POINT (1607972.6340092965 5434356.716192145),0.0,0.0
130480,45538021,EY4M,BMT-1852,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.24180764,173.0955573,,POINT (1608007.0731990074 5434395.030158773),0.0,0.0
130128,45538075,EY2X,BMT-1853,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.24085242,173.094166,,POINT (1607890.606288592 5434501.199983987),0.0,0.0
