,building_i,name,use,suburb_loc,town_city,territoria,capture_me,capture_so,capture__1,capture__2,capture__3,capture__4,last_modif,geometry,affected_area,affected_length
1489043,1570606,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1320600.2108960531 4830417.513419289, 1320599.8418752141 4830413.1438134825, 1320595.3745210127 4830413.521089307, 1320595.7435418605 4830417.890695186, 1320600.2108960531 4830417.513419289))",19.659799658480118,17.73683416170524
1434282,1514874,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1320613.4249013597 4830424.572511969, 1320613.0486626157 4830416.98711477, 1320617.410385517 4830416.770771628, 1320617.1505010491 4830411.53120521, 1320603.0946435044 4830412.228380909, 1320603.7307667597 4830425.0533450795, 1320613.4249013597 4830424.572511969))",147.54255660303278,53.82773436883572
1445477,1526261,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1320622.7723469958 4830421.892789464, 1320622.4107595356 4830415.200749875, 1320617.9608494265 4830415.4411894735, 1320618.322436896 4830422.1332291765, 1320622.7723469958 4830421.892789464))",29.86591480681243,22.31640480908836
1551985,1634624,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326558.582460919 4832699.730868883, 1326564.5797998412 4832702.503874762, 1326563.7488814374 4832704.300949712, 1326567.426098619 4832706.001194536, 1326570.2889030229 4832699.809643077, 1326557.1479610826 4832693.733629817, 1326558.4215560274 4832690.979153197, 1326553.47549917 4832688.6922312025, 1326552.2019041781 4832691.446707862, 1326548.8086882145 4832698.7854102645, 1326557.2211313462 4832702.675094456, 1326558.582460919 4832699.730868883))",151.0961096197066,66.0531210714535
1546481,1629018,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326587.39754918 4832722.758495377, 1326593.3527984202 4832717.729687389, 1326586.0570142756 4832709.089823761, 1326580.10176471 4832714.118631689, 1326587.39754918 4832722.758495377))",88.14164107771052,38.20538704313699
1551543,1634177,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326627.3962890874 4832783.710343433, 1326629.8055649376 4832782.147609962, 1326631.525655096 4832784.799483585, 1326638.4845789087 4832780.28570277, 1326634.8561666054 4832774.691756841, 1326631.5069808867 4832776.864145819, 1326630.2681693574 4832774.954262315, 1326627.9615258109 4832776.450425093, 1326623.7131742972 4832769.900714762, 1326616.3429665635 4832774.681267084, 1326620.9336571575 4832781.758763447, 1326622.8820354627 4832780.4949829085, 1326624.2973782527 4832782.677025665, 1326626.006836743 4832781.568216154, 1326627.3962890874 4832783.710343433))",158.33269154633675,64.55451796054481
1457640,1538669,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326657.8520525345 4832808.615082805, 1326655.1117129605 4832805.680363529, 1326653.6388105196 4832807.055708984, 1326646.4860480183 4832799.395581446, 1326644.2578487743 4832801.476196889, 1326645.338526656 4832802.633530222, 1326642.5057944343 4832805.278637735, 1326651.3182190135 4832814.71615125, 1326657.8520525345 4832808.615082805))",102.3263967121677,46.8702546798752
1449590,1530446,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326662.6801135992 4832824.629400516, 1326669.290444822 4832819.829551142, 1326663.210660459 4832811.456498704, 1326656.6003289341 4832816.256347973, 1326662.6801135992 4832824.629400516))",84.53070114758185,37.03340245896107
1434152,1514742,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326686.2872837596 4832830.773454904, 1326688.2150066933 4832827.972741362, 1326685.4534577583 4832826.071975275, 1326683.5257347822 4832828.872688832, 1326686.2872837596 4832830.773454904))",11.398457981723498,13.504975744575942
1498226,1579961,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326668.4682433142 4832837.628791893, 1326667.5667295302 4832839.118800851, 1326672.5057176952 4832842.107082095, 1326673.4339635507 4832840.572890716, 1326674.5358721726 4832841.23958858, 1326678.7588008188 4832834.259993147, 1326680.5662375195 4832835.353563179, 1326683.7498431627 4832830.091746006, 1326677.712634035 4832826.438997697, 1326677.161240341 4832827.350333141, 1326672.2647529568 4832824.387766166, 1326665.3828797182 4832835.762026036, 1326668.4682433142 4832837.628791893))",170.0487606488583,57.760017655396204
1473687,1554979,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326920.0819698717 4832967.048875115, 1326920.8858234624 4832970.032187842, 1326922.9492715013 4832969.476191773, 1326923.8321815827 4832972.7529038675, 1326934.2639252588 4832969.94207049, 1326931.5100954862 4832959.7218812285, 1326921.0783516008 4832962.532714225, 1326922.1454179222 4832966.492879068, 1326920.0819698717 4832967.048875115))",120.95780469210635,47.05107927428593
1474861,1556167,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326858.3040552377 4833010.983225128, 1326856.8614493306 4833002.186765789, 1326851.7406853167 4833003.026563193, 1326852.181913825 4833005.7170061115, 1326848.3603424013 4833006.343737981, 1326848.0738032246 4833004.596531563, 1326844.0194911866 4833005.261432521, 1326845.3074078807 4833013.114655728, 1326858.3040552377 4833010.983225128))",102.91401750643934,47.709554456970984
1456666,1537655,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326890.1840266036 4833012.176698758, 1326890.396915692 4833003.7931080945, 1326876.6517260023 4833003.444068766, 1326876.4388368835 4833011.827659864, 1326890.1840266036 4833012.176698758))",115.30835368741675,44.271828221755484
1483000,1564448,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326908.819173952 4833020.080069656, 1326916.688709352 4833013.646745183, 1326911.3815869181 4833007.154831072, 1326903.5120512058 4833013.588155476, 1326908.819173952 4833020.080069656))",85.23079064535831,37.099290232455694
1523270,1605369,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"MULTIPOLYGON (((1326930.3704348013 4833011.023609446, 1326930.5343591047 4833020.338538536, 1326934.969034501 4833020.260496954, 1326936.3891493606 4833008.654251065, 1326936.0428320048 4833008.660345555, 1326936.082651703 4833010.923085845, 1326930.3704348013 4833011.023609446)), ((1326937.2488187442 4833020.220377227, 1326938.4951118166 4833008.617190351, 1326938.0983914621 4833008.624171833, 1326937.1109593695 4833020.222803282, 1326937.2488187442 4833020.220377227)))",50.92855328458556,57.612277192251945
1431075,1511604,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326923.373361962 4833020.833300468, 1326927.8523019063 4833020.842869357, 1326927.8723579454 4833011.455253426, 1326923.3934180057 4833011.44568438, 1326923.373361962 4833020.833300468))",42.04676022129739,27.7331751949354
1471412,1552662,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326804.954472638 4833024.066714849, 1326814.4294174071 4833022.841828005, 1326812.9529040235 4833011.420458421, 1326803.4779591593 4833012.645344862, 1326804.954472638 4833024.066714849))",110.02541003128714,42.1404094107736
1461264,1542340,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326794.0994607885 4833035.811521809, 1326798.6356929375 4833033.878235744, 1326796.689553644 4833029.311844837, 1326792.1533214317 4833031.245130839, 1326794.0994607885 4833035.811521809))",24.476653500913024,19.78966283304984
1540050,1622424,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326778.165701145 4833040.77128495, 1326789.3927079432 4833036.56923769, 1326785.5482465636 4833026.297626037, 1326774.3212394475 4833030.499672914, 1326778.165701145 4833040.77128495))",131.4740659781815,45.91021285704054
1505074,1586904,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326916.419650195 4833042.586749282, 1326916.4526593853 4833045.480833263, 1326922.7550887072 4833045.408949311, 1326922.6593925525 4833037.018772204, 1326911.9116114138 4833037.141358402, 1326911.9742983803 4833042.637451816, 1326916.419650195 4833042.586749282))",77.32062499866879,38.2784063693265
1465529,1546676,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326753.0344929947 4833048.4279017355, 1326763.509658409 4833043.826736627, 1326762.3097110773 4833041.094896555, 1326765.7214844464 4833039.596291897, 1326764.0592716613 4833035.812042701, 1326758.3600189853 4833038.315411295, 1326757.3080396857 4833035.920440035, 1326749.1203532512 4833039.51684089, 1326745.1077671775 4833041.279349563, 1326746.588854639 4833044.651242624, 1326750.601440669 4833042.888733909, 1326753.0344929947 4833048.4279017355))",136.36144124757934,58.56591242539003
1522076,1604149,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326745.1454026396 4833051.693409533, 1326747.4296094573 4833050.093122359, 1326744.3777170926 4833045.736933281, 1326742.093510222 4833047.337220435, 1326745.1454026396 4833051.693409533))",14.834341150077439,16.21574947464681
1483179,1564631,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326737.7997328455 4833050.822370908, 1326736.5071326299 4833048.91845853, 1326732.7211667653 4833051.48881857, 1326737.0122731368 4833057.80932675, 1326742.967737136 4833053.766055381, 1326739.9692311476 4833049.34945965, 1326737.7997328455 4833050.822370908))",48.95724616549289,29.67566979699599
1473366,1554651,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326696.0749684344 4833075.474816918, 1326703.4835422193 4833075.3497814685, 1326703.2969490017 4833064.293786256, 1326695.888375212 4833064.418821397, 1326696.0749684344 4833075.474816918))",81.93248820703373,36.934397322072215
1518672,1600690,,Unknown,Chaslands,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1326690.3145631882 4833075.490686777, 1326689.9196153039 4833068.176239215, 1326679.3646466942 4833068.746160796, 1326679.155703126 4833064.876517776, 1326672.3911343648 4833065.241774454, 1326672.995025869 4833076.425865608, 1326690.3145631882 4833075.490686777))",153.30498300931254,57.09029892555222
1481818,1563247,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329704.5682099755 4837423.266758355, 1329702.5813946777 4837421.638909219, 1329700.2911293013 4837424.434213895, 1329702.2779446351 4837426.062063025, 1329700.6445132461 4837428.055691621, 1329704.8277905674 4837431.483158681, 1329711.8922936106 4837422.860822048, 1329707.7090165126 4837419.433354948, 1329704.5682099755 4837423.266758355))",69.56493731876652,38.24688133924599
1538982,1621338,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329688.7842043936 4837432.798654552, 1329690.33453323 4837430.93703359, 1329690.920050285 4837431.424643046, 1329693.139720318 4837428.759283213, 1329688.953093817 4837425.272725978, 1329690.2102587256 4837423.763133716, 1329687.410194085 4837421.431283489, 1329685.8269590042 4837423.3324178355, 1329681.3323073848 4837419.5893419245, 1329678.8266713922 4837422.598086901, 1329684.832711468 4837427.599823452, 1329681.6470772685 4837431.4251043545, 1329686.5368632767 4837435.497241656, 1329688.7842043936 4837432.798654552))",101.24169453678859,52.617772875725244
1472048,1553353,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329676.669812508 4837449.0478392625, 1329682.753887882 4837440.113247699, 1329678.3472778928 4837437.112534301, 1329672.263202315 4837446.047125944, 1329676.669812508 4837449.0478392625))",57.627828070352194,32.281329018659775
1530296,1612523,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329656.3123878094 4837444.589575454, 1329647.0219182265 4837438.95236203, 1329642.4767662636 4837446.443048149, 1329651.767236168 4837452.080261412, 1329656.3123878094 4837444.589575454))",95.21398239059059,39.25749606664671
1541888,1624311,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329750.724477437 4837457.749195446, 1329753.514508754 4837454.596014166, 1329756.0333622182 4837456.824772824, 1329757.6665512533 4837454.979008207, 1329748.8917862903 4837447.214827271, 1329744.4685656992 4837452.213773193, 1329750.724477437 4837457.749195446))",64.04655200791828,36.78303235143595
1460293,1541341,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329676.889805216 4837455.778733875, 1329670.2936200972 4837451.611233303, 1329662.2751318063 4837464.302637674, 1329668.8713173275 4837468.470138063, 1329676.889805216 4837455.778733875))",117.13190756185597,45.629351517589235
1542268,1624696,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329779.3940250413 4837466.849120531, 1329778.337748689 4837463.819444574, 1329774.995627604 4837464.9846528275, 1329776.051903982 4837468.014328816, 1329779.3940250413 4837466.849120531))",11.356325865046278,13.495894421654747
1531342,1613585,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329627.424773144 4837467.517623707, 1329627.4726616708 4837464.771172575, 1329619.4184678618 4837464.630735483, 1329619.3705793289 4837467.3771867, 1329627.424773144 4837467.517623707))",22.127175377636394,21.604573464620707
1511000,1592910,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329774.8492991524 4837468.608820744, 1329773.2381540432 4837466.2651914125, 1329769.9940088086 4837468.495402757, 1329771.6051539567 4837470.839032104, 1329774.8492991524 4837468.608820744))",11.196268063268356,13.561599328298549
1534179,1616467,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329734.4193100356 4837471.6627745135, 1329726.4926360457 4837466.211763609, 1329724.7313666362 4837468.772941432, 1329721.7688137726 4837466.73565465, 1329718.757172426 4837471.115080686, 1329723.7497567353 4837474.548378275, 1329723.2156366254 4837475.325077542, 1329729.1122795502 4837479.380077502, 1329734.4193100356 4837471.6627745135))",106.88872530583782,45.16296662179889
1431876,1512424,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329657.1040707664 4837473.014775821, 1329653.435845946 4837470.5116027305, 1329651.6748331848 4837473.092243574, 1329655.3430580534 4837475.595416647, 1329657.1040707664 4837473.014775821))",13.874490505482063,15.13031433619071
12651,1582821,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329652.4170400633 4837487.444534683, 1329656.7997148116 4837481.366846284, 1329652.46718413 4837478.242620056, 1329653.0751691605 4837477.399494893, 1329648.2306679368 4837473.906082056, 1329643.240007833 4837480.826895722, 1329652.4170400633 4837487.444534683))",90.98656561960945,39.69348763609684
1445920,1526719,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329621.0601477704 4837473.879058321, 1329614.33409394 4837473.441556526, 1329614.0435208539 4837477.908762089, 1329613.120794865 4837477.848742618, 1329612.6569372462 4837484.979988165, 1329610.8947956671 4837484.865368268, 1329610.7357975196 4837487.309771688, 1329607.976455452 4837487.130288118, 1329607.7721348538 4837490.271469623, 1329614.652186929 4837490.718987922, 1329614.5116216107 4837492.880009671, 1329619.8018330822 4837493.224115507, 1329621.0601477704 4837473.879058321))",157.92269808837636,63.163841165947794
1512857,1594793,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329762.3293123422 4837484.166357908, 1329759.7302741155 4837481.57976327, 1329755.2407280756 4837486.090907649, 1329757.8397663906 4837488.6775022885, 1329762.3293123422 4837484.166357908))",23.337272491648193,20.06254855237978
1459880,1540921,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329646.5477040713 4837488.116007165, 1329642.8772201575 4837485.350969912, 1329641.46219416 4837487.229364184, 1329645.132678113 4837489.994401427, 1329646.5477040713 4837488.116007165))",10.80721551389356,13.894312197136927
1487127,1568651,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329715.9462983203 4837499.269240936, 1329715.9744776613 4837498.559013438, 1329717.7960193336 4837498.631285835, 1329717.9368011607 4837495.083044304, 1329711.246472577 4837494.817595387, 1329711.1056907382 4837498.36583701, 1329712.4262360781 4837498.418231627, 1329712.3980567367 4837499.128459138, 1329715.9462983203 4837499.269240936))",26.300298352933023,21.914824437128097
1482630,1564073,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329639.9765702481 4837503.271371007, 1329640.2728131297 4837504.458867918, 1329650.863583446 4837501.816806078, 1329649.535315423 4837496.492410485, 1329652.2835777318 4837495.806806138, 1329651.0209271375 4837490.74543917, 1329635.156045744 4837494.703224058, 1329637.4507217472 4837503.901490231, 1329639.9765702481 4837503.271371007))",156.29358530789827,54.11032572449978
1529474,1611689,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329588.418151258 4837499.849613266, 1329587.0495007695 4837502.6806685105, 1329597.557566857 4837507.760706865, 1329599.9858449553 4837502.7378103845, 1329597.9688939443 4837501.762731936, 1329599.8655171602 4837497.839564493, 1329603.0065118438 4837499.3580527045, 1329604.1577700598 4837496.97667371, 1329607.0181199536 4837498.3594865, 1329608.3775648484 4837495.547473148, 1329597.3673855602 4837490.224691665, 1329591.9004312 4837501.533093013, 1329588.418151258 4837499.849613266))",142.08389613878117,68.0850901547676
1434608,1515202,,Unknown,Papatowai,,Clutha District,Feature Extraction,NZ Aerial Imagery,1034,Southland & Central Otago 0.4m Rural Aerial Photos (2013-2014),2014-02-05,2014-03-26,2018-10-26,"POLYGON ((1329701.677149557 4837498.01655374, 1329695.947229645 4837495.09529851, 1329692.8275978114 4837501.21432592, 1329698.557517861 4837504.135581053, 1329701.677149557 4837498.01655374))",44.17477759831716,26.599990091393277
